Distance Matrix (rows/cols: 0=depot, 1..n=customers):
           0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
   0    0.00  18.68  20.62  16.12  18.11  15.13  19.00  16.00  18.11  20.10  16.76  19.65  38.08  30.81  39.36  36.06  40.31  33.30  35.36  39.05  10.00  10.20  12.17  13.00  15.00  15.13  15.81  17.12  17.72  20.00  20.62  33.54  31.62  33.53  32.39  38.08  35.36  39.29  41.23  40.31  20.62  18.68  19.31  16.55  21.54  22.36  20.59  18.03  23.32  19.21  22.80  25.00  21.21  45.18  40.05  35.06  45.00  35.00  45.04  35.06  45.28  22.36  18.03  14.14  21.54  12.81  16.55  12.21  20.62  15.81  58.52  57.01  23.85  55.71  19.85  15.81  52.20  52.00  50.29  51.08  51.48  47.43  35.36  32.39  31.05  29.73  26.48  25.50  26.93  24.35  20.62  22.36  44.20  43.01  40.61  37.20  36.06  40.31  30.81  33.54  38.08
   1   18.68   0.00   2.00   3.61   3.00   4.24   5.10   5.39   7.00   7.28  10.20  10.05  26.25  24.04  28.60  27.73  30.23  27.89  30.81  32.31  23.43  21.93  23.35  21.40  26.91  25.61  23.85  27.20  25.55  30.81  28.18  48.10  44.82  46.40  43.57  51.86  46.14  51.31  53.00  50.54  39.29  37.36  37.95  35.11  40.16  40.85  39.00  36.25  41.63  37.12  40.71  42.94  38.59  63.01  58.08  53.08  63.20  53.24  63.39  53.46  63.79  38.33  33.38  28.44  38.12  28.16  33.06  28.07  38.00  33.00  62.80  59.91  38.83  60.44  33.96   3.00  55.80  57.38  54.20  56.64  58.73  51.86  32.70  29.97  26.93  24.35  24.70  23.85  21.54  20.59  19.85  17.00  27.80  26.25  24.41  20.81  19.21  22.67  14.76  15.62  19.72
   2   20.62   2.00   0.00   5.00   3.61   5.83   5.10   6.40   7.28   7.00  10.77  10.05  25.00  23.54  27.46  26.93  29.15  27.46  30.41  31.62  25.00  23.43  24.76  22.67  28.28  26.91  25.00  28.43  26.63  32.02  29.15  49.50  46.10  47.63  44.65  53.15  47.17  52.43  54.08  51.48  41.23  39.29  39.85  37.00  42.06  42.72  40.85  38.08  43.46  38.91  42.49  44.72  40.31  65.01  60.07  55.08  65.19  55.23  65.38  55.44  65.76  40.31  35.36  30.41  40.11  30.15  35.06  30.07  40.00  35.00  64.03  61.03  40.79  61.72  35.90   5.00  57.01  58.73  55.44  58.00  60.21  53.15  33.54  30.89  27.73  25.08  25.81  25.00  22.36  21.63  21.21  18.03  26.63  25.00  23.32  19.72  18.03  21.21  13.93  14.14  18.03
   3   16.12   3.61   5.00   0.00   2.00   1.00   3.61   2.00   4.47   5.66   7.00   7.62  25.50  21.93  27.59  26.08  29.07  25.63  28.46  30.41  20.00  18.44  19.80  17.80  23.35  22.02  20.25  23.60  21.95  27.20  24.60  44.55  41.23  42.80  39.96  48.27  42.54  47.71  49.40  46.96  36.67  34.71  35.17  32.28  37.36  37.95  36.06  33.24  38.63  34.01  37.58  39.81  35.36  61.03  56.00  51.00  61.03  51.04  61.13  51.16  61.40  36.88  32.02  27.20  36.50  26.68  31.40  26.48  36.12  31.14  64.07  61.40  37.64  61.61  32.89   3.16  57.14  58.41  55.47  57.63  59.41  53.01  34.79  31.95  29.12  26.68  26.40  25.50  23.77  22.47  21.10  18.97  31.40  29.83  28.02  24.41  22.80  26.17  18.36  19.10  23.02
   4   18.11   3.00   3.61   2.00   0.00   3.00   2.24   2.83   4.00   4.47   7.28   7.07  24.04  21.19  26.25  25.06  27.80  25.00  27.89  29.55  21.63  20.00  21.26  19.10  24.76  23.35  21.40  24.84  23.02  28.43  25.55  45.97  42.52  44.05  41.05  49.58  43.57  48.83  50.48  47.89  38.64  36.67  37.11  34.21  39.29  39.85  37.95  35.11  40.50  35.85  39.40  41.63  37.12  63.03  58.00  53.00  63.03  53.04  63.13  53.15  63.39  38.83  33.96  29.12  38.47  28.64  33.38  28.44  38.12  33.14  65.22  62.43  39.56  62.80  34.79   4.24  58.25  59.67  56.61  58.90  60.81  54.20  35.47  32.70  29.73  27.20  27.29  26.42  24.35  23.26  22.20  19.70  30.23  28.60  26.93  23.32  21.63  24.76  17.46  17.69  21.40
   5   15.13   4.24   5.83   1.00   3.00   0.00   4.47   2.24   5.00   6.40   7.07   8.06  26.25  22.36  28.28  26.63  29.73  26.00  28.79  30.89  19.21  17.69  19.10  17.20  22.67  21.40  19.72  23.02  21.47  26.63  24.17  43.86  40.61  42.20  39.45  47.63  42.06  47.17  48.88  46.52  35.69  33.73  34.21  31.32  36.40  37.00  35.11  32.31  37.70  33.11  36.67  38.91  34.48  60.03  55.00  50.00  60.03  50.04  60.13  50.16  60.41  35.90  31.05  26.25  35.51  25.71  30.41  25.50  35.13  30.15  63.51  60.90  36.69  61.03  31.95   3.00  56.60  57.80  54.92  57.01  58.73  52.43  34.48  31.62  28.86  26.48  26.00  25.08  23.54  22.14  20.59  18.68  32.02  30.48  28.60  25.00  23.43  26.91  18.87  19.85  23.85
   6   19.00   5.10   5.10   3.61   2.24   4.47   0.00   3.00   2.24   2.24   5.83   5.00  21.93  18.97  24.08  22.83  25.61  22.80  25.71  27.31  21.47  19.72  20.81  18.44  24.21  22.67  20.52  24.04  22.02  27.59  24.41  45.34  41.73  43.19  40.00  48.80  42.44  47.80  49.41  46.65  39.32  37.34  37.66  34.71  39.81  40.26  38.33  35.44  40.80  36.06  39.56  41.79  37.16  64.12  59.03  54.04  64.00  54.00  64.03  54.04  64.20  40.26  35.44  30.68  39.81  30.08  34.71  29.83  39.32  34.37  67.42  64.66  41.11  65.00  36.40   6.40  60.46  61.85  58.82  61.07  62.94  56.40  37.70  34.93  31.95  29.41  29.53  28.65  26.57  25.50  24.41  21.93  31.38  29.68  28.18  24.60  22.83  25.61  18.97  18.60  21.93
   7   16.00   5.39   6.40   2.00   2.83   2.24   3.00   0.00   2.83   4.47   5.00   5.83  24.21  20.12  26.17  24.41  27.59  23.77  26.57  28.65  18.87  17.20  18.44  16.28  21.93  20.52  18.60  22.02  20.25  25.61  22.83  43.14  39.70  41.23  38.28  46.75  40.82  46.04  47.71  45.18  36.35  34.37  34.71  31.78  36.88  37.36  35.44  32.57  37.95  33.24  36.77  39.00  34.44  61.13  56.04  51.04  61.00  51.00  61.03  51.04  61.20  37.36  32.57  27.86  36.88  27.20  31.78  26.93  36.35  31.40  65.73  63.13  38.28  63.25  33.62   5.10  58.83  60.00  57.14  59.20  60.88  54.64  36.69  33.84  31.05  28.64  28.23  27.31  25.71  24.35  22.83  20.88  33.02  31.40  29.68  26.08  24.41  27.59  20.12  20.52  24.21
   8   18.11   7.00   7.28   4.47   4.00   5.00   2.24   2.83   0.00   2.00   3.61   3.16  21.40  17.46  23.35  21.63  24.76  21.19  24.04  25.94  19.70  17.89  18.87  16.40  22.20  20.62  18.38  21.93  19.85  25.46  22.20  43.28  39.60  41.04  37.80  46.67  40.22  45.61  47.20  44.42  38.12  36.12  36.35  33.38  38.47  38.83  36.88  33.96  39.29  34.48  37.95  40.16  35.47  63.29  58.14  53.15  63.03  53.04  63.00  53.00  63.07  39.85  35.11  30.46  39.29  29.73  34.21  29.41  38.64  33.73  68.51  65.86  40.85  66.03  36.25   7.62  61.59  62.80  59.91  62.01  63.70  57.43  39.22  36.40  33.53  31.05  30.87  29.97  28.16  26.93  25.55  23.41  33.62  31.91  30.41  26.83  25.06  27.80  21.19  20.81  24.04
   9   20.10   7.28   7.00   5.66   4.47   6.40   2.24   4.47   2.00   0.00   5.00   3.16  19.85  16.76  21.93  20.59  23.43  20.62  23.54  25.08  21.54  19.70  20.59  18.03  23.85  22.20  19.85  23.43  21.21  26.91  23.43  44.82  41.04  42.43  39.05  48.10  41.40  46.86  48.41  45.49  40.11  38.12  38.33  35.36  40.45  40.79  38.83  35.90  41.23  36.40  39.85  42.06  37.34  65.28  60.13  55.15  65.03  55.04  65.00  55.00  65.07  41.76  37.00  32.31  41.23  31.62  36.14  31.32  40.61  35.69  69.63  66.89  42.72  67.20  38.08   8.60  62.68  64.03  61.03  63.25  65.07  58.60  39.92  37.16  34.18  31.62  31.76  30.89  28.79  27.73  26.63  24.17  32.65  30.89  29.55  26.00  24.17  26.63  20.62  19.72  22.67
